Ap	ADJ
Aps	ADJSECONDCOMP
Aq	ADJPRED
Ar	DET
Av	ADJPRED
Cc	CONJ
Cs	SCONJ
Cs+Qq	P
Csw	GU
Dd	DET
Dp	DET
Dq	DET
Fb	PUNC
Fe	PUNC
Fg	PUNC
Fi	PUNC
Fq	PUNCPRE
Fu	PUNC
Fz	PUNC
I	ADVPRE
Mc	NUM
Mn	NUM
Mo	DET
Mr	NUM
Nc	N
Ncsfg	NMOD
Ncsfge	NMOD
Ncfsg	NMOD
Ncsmg	NMOD
Ncsmge	NMOD
Ncpfg	NMOD
Ncpmg	NMOD
Ncpmv	ADVPRE
Nf	N
Nn	NAME
nn	NAME
Nn-md	FIRSTNAME
Nn-mn	FIRSTNAME
Nn-mg	FIRSTNAME
Nn-fd	FIRSTNAME
Nnsfd	FIRSTNAME
Nn-fn	FIRSTNAME
Nn-fg	FIRSTNAME
Nn-mv	ADVPRE
Nn-fv	ADVPRE
Nt	NPLACE
Pd	PRONOUN
Pn	PRONOUN
Pp	PRONOUN
Pr	PP
Px	ADJPRED
Qa	GU
Qa+Q-s	GU
Qa+Q--s	GU
Qn	NEG
Qnm	IMPERATIVENEG
Qnr	INTERRNEG
Qq	INTERR
Qq+Q--s	INTERR
Q-r	REL
Q-s	NAN
Q--s	DO
R	ADV
Rg	ADV
# check this: looks fishy
Rg+Cc	CONJ
Rs	ADV
Rt	ADV
Sa	ASP
sa	ASP
Sap1s	ASPPERSONAL
Sap1p	ASPPERSONAL
Sap2s	ASPPERSONAL
Sap2p	ASPPERSONAL
Sap3sm	ASPPERSONAL
Sap3sf	ASPPERSONAL
Sap3p	ASPPERSONAL
Sp	P
Sp-1s	PP
Sp-2s	PP
Spr	PDCL
Sp+Q-r	PDCL
Spv	PDEP
SP	P
Ua	ADVERBIALIZER
Uc	COMPARATIVE
Uf	N
Ug	AGREEMENT
Um	PDCL
Uo	DET
Up	FIRSTNAME
Uq	INTERR
Uq+V-p--d	VINTERROGATIVE
Uv	VOCPART
Xa	N
Xf	N
Xfe	N
Xfi	N
Xx	N
Xsc	ADVPRE
Xsi	N
Xsp	ADV
Xy	N
Y	N
